"","faminc","cigtax","cigprice","bwght","fatheduc","motheduc","parity","male","white","cigs","lbwght","bwghtlbs","packs","lfaminc"
"1",13.5,16.5,122.300003051758,109,12,12,1,1,1,0,4.6913480758667,6.8125,0,2.60268998146057
"2",7.5,16.5,122.300003051758,133,6,12,2,1,0,0,4.8903489112854,8.3125,0,2.01490306854248
"3",0.5,16.5,122.300003051758,129,NA,12,2,0,0,0,4.85981178283691,8.0625,0,-0.6931471824646
"4",15.5,16.5,122.300003051758,126,12,12,2,1,0,0,4.83628177642822,7.875,0,2.74083995819092
"5",27.5,16.5,122.300003051758,134,14,12,2,1,1,0,4.89784002304077,8.375,0,3.31418609619141
"6",7.5,16.5,122.300003051758,118,12,14,6,1,0,0,4.77068519592285,7.375,0,2.01490306854248
"7",65,16.5,122.300003051758,140,16,14,2,0,1,0,4.94164180755615,8.75,0,4.17438697814941
"8",27.5,16.5,122.300003051758,86,12,14,2,0,0,0,4.45434713363647,5.375,0,3.31418609619141
"9",27.5,16.5,122.300003051758,121,12,17,2,0,1,0,4.7957911491394,7.5625,0,3.31418609619141
"10",37.5,16.5,122.300003051758,129,16,18,2,0,1,0,4.85981178283691,8.0625,0,3.62434101104736
"11",27.5,16.5,122.300003051758,101,12,16,2,1,0,0,4.61511993408203,6.3125,0,3.31418609619141
"12",27.5,16.5,122.300003051758,133,16,15,1,1,1,0,4.8903489112854,8.3125,0,3.31418609619141
"13",6.5,16.5,122.300003051758,61,NA,12,3,1,0,0,4.11087417602539,3.8125,0,1.87180197238922
"14",10.5,16.5,122.300003051758,104,12,12,1,1,1,0,4.64439105987549,6.5,0,2.35137510299683
"15",12.5,16.5,122.300003051758,92,7,12,1,1,0,0,4.52178907394409,5.75,0,2.52572894096375
"16",17.5,16.5,122.300003051758,122,13,13,1,1,1,0,4.80402088165283,7.625,0,2.86220097541809
"17",42.5,16.5,122.300003051758,159,18,16,1,1,1,0,5.06890392303467,9.9375,0,3.74950408935547
"18",4.5,16.5,122.300003051758,154,NA,11,1,0,0,0,5.03695201873779,9.625,0,1.50407695770264
"19",32.5,16.5,122.300003051758,120,16,16,1,1,0,0,4.78749179840088,7.5,0,3.48124003410339
"20",6.5,16.5,122.300003051758,138,NA,11,2,0,0,0,4.92725419998169,8.625,0,1.87180197238922
"21",47.5,16.5,122.300003051758,127,16,17,1,0,1,0,4.84418678283691,7.9375,0,3.86072993278503
"22",22.5,16.5,122.300003051758,107,12,12,2,1,1,0,4.67282915115356,6.6875,0,3.11351490020752
"23",15.5,16.5,122.300003051758,129,8,11,2,1,1,6,4.85981178283691,8.0625,0.300000011920929,2.74083995819092
"24",13.5,16.5,122.300003051758,129,12,12,1,0,0,0,4.85981178283691,8.0625,0,2.60268998146057
"25",37.5,16.5,122.300003051758,156,11,11,1,0,1,0,5.04985618591309,9.75,0,3.62434101104736
"26",2.5,16.5,122.300003051758,124,11,12,2,1,0,0,4.82028198242188,7.75,0,0.916290819644928
"27",2.5,16.5,122.300003051758,79,NA,12,2,1,0,0,4.36944818496704,4.9375,0,0.916290819644928
"28",32.5,16.5,122.300003051758,112,12,12,2,1,1,0,4.71849918365479,7,0,3.48124003410339
"29",22.5,16.5,122.300003051758,124,12,12,1,1,1,0,4.82028198242188,7.75,0,3.11351490020752
"30",0.5,15,125.599998474121,134,NA,12,2,1,0,0,4.89784002304077,8.375,0,-0.6931471824646
"31",65,15,125.599998474121,114,12,12,1,0,1,0,4.73619794845581,7.125,0,4.17438697814941
"32",65,15,125.599998474121,124,16,13,1,1,1,0,4.82028198242188,7.75,0,4.17438697814941
"33",65,15,125.599998474121,122,16,16,2,1,1,0,4.80402088165283,7.625,0,4.17438697814941
"34",27.5,15,125.599998474121,104,11,10,2,0,0,0,4.64439105987549,6.5,0,3.31418609619141
"35",7.5,15,125.599998474121,105,5,8,3,0,1,0,4.65396022796631,6.5625,0,2.01490306854248
"36",47.5,15,125.599998474121,113,16,16,2,1,1,0,4.72738790512085,7.0625,0,3.86072993278503
"37",65,15,125.599998474121,131,12,12,2,1,1,0,4.87519693374634,8.1875,0,4.17438697814941
"38",65,15,125.599998474121,107,16,14,1,0,1,0,4.67282915115356,6.6875,0,4.17438697814941
"39",32.5,15,125.599998474121,115,12,9,1,1,1,0,4.74493217468262,7.1875,0,3.48124003410339
"40",13.5,15,125.599998474121,97,10,13,3,0,0,0,4.57471084594727,6.0625,0,2.60268998146057
"41",65,15,125.599998474121,106,12,12,1,1,1,0,4.66343879699707,6.625,0,4.17438697814941
"42",47.5,15,125.599998474121,132,15,12,1,1,1,0,4.88280200958252,8.25,0,3.86072993278503
"43",37.5,15,125.599998474121,108,18,16,1,1,1,0,4.68213081359863,6.75,0,3.62434101104736
"44",32.5,15,125.599998474121,114,16,14,1,1,0,0,4.73619794845581,7.125,0,3.48124003410339
"45",18.5,15,125.599998474121,134,14,12,1,1,1,0,4.89784002304077,8.375,0,2.91777110099792
"46",65,15,125.599998474121,134,18,16,1,0,0,0,4.89784002304077,8.375,0,4.17438697814941
"47",65,15,125.599998474121,141,18,16,1,1,1,0,4.94876003265381,8.8125,0,4.17438697814941
"48",11.5,15,125.599998474121,84,12,12,1,1,1,0,4.43081712722778,5.25,0,2.44234704971313
"49",32.5,15,125.599998474121,88,13,13,3,1,0,0,4.47733688354492,5.5,0,3.48124003410339
"50",65,15,125.599998474121,130,16,18,1,1,1,0,4.86753511428833,8.125,0,4.17438697814941
"51",17.5,15,125.599998474121,132,12,12,2,1,0,0,4.88280200958252,8.25,0,2.86220097541809
"52",16.5,15,125.599998474121,133,13,13,1,1,1,0,4.8903489112854,8.3125,0,2.80335998535156
"53",22.5,15,125.599998474121,108,12,12,2,0,1,0,4.68213081359863,6.75,0,3.11351490020752
"54",42.5,15,125.599998474121,92,16,14,2,0,1,0,4.52178907394409,5.75,0,3.74950408935547
"55",32.5,15,125.599998474121,127,12,14,2,1,1,0,4.84418678283691,7.9375,0,3.48124003410339
"56",11.5,15,125.599998474121,131,11,9,1,1,1,0,4.87519693374634,8.1875,0,2.44234704971313
"57",65,15,125.599998474121,104,16,15,1,0,1,0,4.64439105987549,6.5,0,4.17438697814941
"58",27.5,15,125.599998474121,122,12,12,1,0,1,0,4.80402088165283,7.625,0,3.31418609619141
"59",27.5,15,125.599998474121,97,12,12,2,1,1,0,4.57471084594727,6.0625,0,3.31418609619141
"60",17.5,15,125.599998474121,122,14,16,1,0,0,0,4.80402088165283,7.625,0,2.86220097541809
"61",65,15,125.599998474121,118,16,13,3,1,1,0,4.77068519592285,7.375,0,4.17438697814941
"62",3.5,15,125.599998474121,140,11,12,2,1,0,0,4.94164180755615,8.75,0,1.25276303291321
"63",0.5,15,125.599998474121,131,12,12,2,0,0,0,4.87519693374634,8.1875,0,-0.6931471824646
"64",0.5,15,125.599998474121,104,NA,12,2,0,0,10,4.64439105987549,6.5,0.5,-0.6931471824646
"65",3.5,15,125.599998474121,114,NA,11,3,0,1,0,4.73619794845581,7.125,0,1.25276303291321
"66",65,15,125.599998474121,141,12,13,1,0,1,0,4.94876003265381,8.8125,0,4.17438697814941
"67",22.5,15,125.599998474121,107,11,12,2,0,1,0,4.67282915115356,6.6875,0,3.11351490020752
"68",22.5,21,127.699996948242,152,12,10,1,1,1,0,5.02388000488281,9.5,0,3.11351490020752
"69",7.5,21,127.699996948242,119,12,10,2,1,0,20,4.77912282943726,7.4375,1,2.01490306854248
"70",27.5,21,127.699996948242,135,12,12,1,0,1,0,4.90527486801147,8.4375,0,3.31418609619141
"71",18.5,21,127.699996948242,138,12,10,1,0,1,0,4.92725419998169,8.625,0,2.91777110099792
"72",37.5,21,127.699996948242,108,16,16,1,1,1,0,4.68213081359863,6.75,0,3.62434101104736
"73",22.5,21,127.699996948242,97,7,12,1,0,1,0,4.57471084594727,6.0625,0,3.11351490020752
"74",27.5,21,127.699996948242,131,13,12,3,1,1,0,4.87519693374634,8.1875,0,3.31418609619141
"75",18.5,21,127.699996948242,115,3,12,1,0,0,40,4.74493217468262,7.1875,2,2.91777110099792
"76",22.5,21,127.699996948242,123,16,14,3,1,0,0,4.81218385696411,7.6875,0,3.11351490020752
"77",0.5,21,127.699996948242,115,NA,10,5,0,0,0,4.74493217468262,7.1875,0,-0.6931471824646
"78",32.5,21,127.699996948242,132,18,16,1,0,1,0,4.88280200958252,8.25,0,3.48124003410339
"79",27.5,21,127.699996948242,133,14,13,1,1,0,0,4.8903489112854,8.3125,0,3.31418609619141
"80",32.5,21,127.699996948242,125,13,12,1,0,1,0,4.82831382751465,7.8125,0,3.48124003410339
"81",15.5,21,127.699996948242,117,12,12,1,1,1,0,4.76217412948608,7.3125,0,2.74083995819092
"82",16.5,21,127.699996948242,116,16,13,1,1,1,0,4.75359010696411,7.25,0,2.80335998535156
"83",19.5,21,127.699996948242,152,18,18,2,1,1,0,5.02388000488281,9.5,0,2.97041392326355
"84",15.5,21,127.699996948242,101,10,10,1,0,0,0,4.61511993408203,6.3125,0,2.74083995819092
"85",14.5,21,127.699996948242,107,17,12,1,1,1,0,4.67282915115356,6.6875,0,2.67414903640747
"86",32.5,21,127.699996948242,136,16,14,4,0,1,0,4.91265487670898,8.5,0,3.48124003410339
"87",14.5,21,127.699996948242,120,7,9,2,0,1,0,4.78749179840088,7.5,0,2.67414903640747
"88",8.5,21,127.699996948242,127,17,18,1,1,1,0,4.84418678283691,7.9375,0,2.14006590843201
"89",8.5,21,127.699996948242,123,NA,8,3,1,1,0,4.81218385696411,7.6875,0,2.14006590843201
"90",7.5,21,127.699996948242,135,14,12,3,1,1,0,4.90527486801147,8.4375,0,2.01490306854248
"91",32.5,21,127.699996948242,86,14,15,1,1,0,0,4.45434713363647,5.375,0,3.48124003410339
"92",65,21,127.699996948242,97,16,16,1,1,1,0,4.57471084594727,6.0625,0,4.17438697814941
"93",7.5,21,127.699996948242,93,14,12,1,1,0,10,4.53259897232056,5.8125,0.5,2.01490306854248
"94",27.5,21,127.699996948242,96,18,12,1,0,0,0,4.5643482208252,6,0,3.31418609619141
"95",13.5,21,127.699996948242,109,8,8,2,0,1,10,4.6913480758667,6.8125,0.5,2.60268998146057
"96",27.5,21,127.699996948242,117,12,11,1,1,0,0,4.76217412948608,7.3125,0,3.31418609619141
"97",18.5,21,127.699996948242,115,9,12,1,0,1,0,4.74493217468262,7.1875,0,2.91777110099792
"98",22.5,10,126.400001525879,121,11,12,1,1,1,20,4.7957911491394,7.5625,1,3.11351490020752
"99",65,10,126.400001525879,114,18,17,2,0,1,0,4.73619794845581,7.125,0,4.17438697814941
"100",22.5,10,126.400001525879,118,12,6,1,0,1,0,4.77068519592285,7.375,0,3.11351490020752
"101",42.5,10,126.400001525879,134,16,16,1,0,1,0,4.89784002304077,8.375,0,3.74950408935547
"102",37.5,10,126.400001525879,156,18,15,1,1,1,0,5.04985618591309,9.75,0,3.62434101104736
"103",11.5,10,126.400001525879,139,12,12,2,0,1,3,4.93447399139404,8.6875,0.150000005960464,2.44234704971313
"104",65,10,126.400001525879,136,18,18,2,1,1,0,4.91265487670898,8.5,0,4.17438697814941
"105",7.5,10,126.400001525879,115,8,11,1,1,0,0,4.74493217468262,7.1875,0,2.01490306854248
"106",22.5,10,126.400001525879,23,12,12,1,1,0,0,3.13549399375916,1.4375,0,3.11351490020752
"107",65,10,126.400001525879,135,13,12,1,0,1,0,4.90527486801147,8.4375,0,4.17438697814941
"108",27.5,10,126.400001525879,106,12,13,1,1,0,10,4.66343879699707,6.625,0.5,3.31418609619141
"109",7.5,10,126.400001525879,116,NA,10,2,1,0,0,4.75359010696411,7.25,0,2.01490306854248
"110",65,10,126.400001525879,147,13,16,1,1,1,0,4.99043321609497,9.1875,0,4.17438697814941
"111",8.5,10,126.400001525879,115,NA,10,3,0,1,0,4.74493217468262,7.1875,0,2.14006590843201
"112",12.5,10,126.400001525879,85,12,12,3,0,1,0,4.44265079498291,5.3125,0,2.52572894096375
"113",37.5,10,126.400001525879,102,12,17,1,1,1,0,4.62497282028198,6.375,0,3.62434101104736
"114",14.5,10,126.400001525879,122,11,12,1,0,1,0,4.80402088165283,7.625,0,2.67414903640747
"115",65,10,126.400001525879,109,17,16,1,1,0,0,4.6913480758667,6.8125,0,4.17438697814941
"116",37.5,10,126.400001525879,97,11,11,2,0,1,20,4.57471084594727,6.0625,1,3.62434101104736
"117",27.5,10,126.400001525879,136,13,17,2,0,1,0,4.91265487670898,8.5,0,3.31418609619141
"118",65,10,126.400001525879,131,18,12,1,0,1,0,4.87519693374634,8.1875,0,4.17438697814941
"119",32.5,10,126.400001525879,116,14,12,1,1,1,0,4.75359010696411,7.25,0,3.48124003410339
"120",6.5,10,126.400001525879,86,NA,12,1,1,1,0,4.45434713363647,5.375,0,1.87180197238922
"121",65,10,126.400001525879,155,13,16,2,1,1,0,5.0434250831604,9.6875,0,4.17438697814941
"122",6.5,10,126.400001525879,122,NA,10,1,1,1,40,4.80402088165283,7.625,2,1.87180197238922
"123",65,10,126.400001525879,105,18,16,1,0,1,0,4.65396022796631,6.5625,0,4.17438697814941
"124",65,10,126.400001525879,131,16,16,1,1,1,0,4.87519693374634,8.1875,0,4.17438697814941
"125",7.5,10,126.400001525879,126,NA,11,3,0,0,0,4.83628177642822,7.875,0,2.01490306854248
"126",17.5,10,126.400001525879,127,8,10,1,1,1,0,4.84418678283691,7.9375,0,2.86220097541809
"127",27.5,10,126.400001525879,125,18,18,1,1,1,0,4.82831382751465,7.8125,0,3.31418609619141
"128",37.5,10,126.400001525879,98,17,16,1,1,0,0,4.58496809005737,6.125,0,3.62434101104736
"129",22.5,10,126.400001525879,144,12,13,4,0,0,0,4.96981287002563,9,0,3.11351490020752
"130",22.5,10,126.400001525879,91,12,13,1,0,0,0,4.51085901260376,5.6875,0,3.11351490020752
"131",65,10,126.400001525879,106,13,16,1,0,1,0,4.66343879699707,6.625,0,4.17438697814941
"132",42.5,10,126.400001525879,128,12,12,2,1,1,0,4.85202980041504,8,0,3.74950408935547
"133",2.5,10,126.400001525879,144,11,12,1,1,1,0,4.96981287002563,9,0,0.916290819644928
"134",10.5,10,126.400001525879,91,NA,10,4,0,0,0,4.51085901260376,5.6875,0,2.35137510299683
"135",42.5,10,126.400001525879,122,16,12,2,1,1,0,4.80402088165283,7.625,0,3.74950408935547
"136",14.5,10,126.400001525879,139,10,12,1,0,1,0,4.93447399139404,8.6875,0,2.67414903640747
"137",42.5,10,126.400001525879,126,10,12,1,0,1,0,4.83628177642822,7.875,0,3.74950408935547
"138",32.5,10,126.400001525879,107,18,18,1,1,1,0,4.67282915115356,6.6875,0,3.48124003410339
"139",3.5,10,126.400001525879,79,NA,12,3,1,1,0,4.36944818496704,4.9375,0,1.25276303291321
"140",42.5,10,126.400001525879,102,15,12,1,1,1,0,4.62497282028198,6.375,0,3.74950408935547
"141",15.5,10,126.400001525879,126,12,16,1,1,1,0,4.83628177642822,7.875,0,2.74083995819092
"142",32.5,10,126.400001525879,120,12,12,1,0,0,0,4.78749179840088,7.5,0,3.48124003410339
"143",19.5,10,126.400001525879,101,12,12,1,1,0,0,4.61511993408203,6.3125,0,2.97041392326355
"144",42.5,10,126.400001525879,131,12,12,5,1,1,0,4.87519693374634,8.1875,0,3.74950408935547
"145",65,10,126.400001525879,128,12,14,2,0,1,0,4.85202980041504,8,0,4.17438697814941
"146",13.5,10,126.400001525879,142,13,12,1,1,0,0,4.95582723617554,8.875,0,2.60268998146057
"147",27.5,10,126.400001525879,144,12,12,1,1,1,0,4.96981287002563,9,0,3.31418609619141
"148",42.5,10,126.400001525879,58,16,15,3,0,1,0,4.06044292449951,3.625,0,3.74950408935547
"149",5.5,10,126.400001525879,88,NA,12,1,1,0,0,4.47733688354492,5.5,0,1.70474803447723
"150",5.5,10,126.400001525879,123,NA,12,1,0,0,0,4.81218385696411,7.6875,0,1.70474803447723
"151",65,10,126.400001525879,146,16,13,2,0,1,0,4.98360681533813,9.125,0,4.17438697814941
"152",22.5,10,126.400001525879,135,9,13,1,1,0,0,4.90527486801147,8.4375,0,3.11351490020752
"153",18.5,10,126.400001525879,125,12,12,1,0,1,0,4.82831382751465,7.8125,0,2.91777110099792
"154",27.5,10,126.400001525879,125,NA,12,1,0,0,0,4.82831382751465,7.8125,0,3.31418609619141
"155",65,10,126.400001525879,99,18,16,1,1,0,0,4.59511995315552,6.1875,0,4.17438697814941
"156",32.5,10,126.400001525879,120,12,12,1,1,1,4,4.78749179840088,7.5,0.200000002980232,3.48124003410339
"157",22.5,10,126.400001525879,114,5,7,2,0,0,0,4.73619794845581,7.125,0,3.11351490020752
"158",37.5,10,126.400001525879,88,12,12,1,0,1,0,4.47733688354492,5.5,0,3.62434101104736
"159",65,10,126.400001525879,106,18,15,1,1,1,0,4.66343879699707,6.625,0,4.17438697814941
"160",1.5,10,126.400001525879,123,NA,13,2,0,0,0,4.81218385696411,7.6875,0,0.405465096235275
"161",27.5,10,126.400001525879,135,11,13,2,1,1,0,4.90527486801147,8.4375,0,3.31418609619141
"162",47.5,10,126.400001525879,116,16,12,2,1,1,0,4.75359010696411,7.25,0,3.86072993278503
"163",32.5,10,126.400001525879,128,14,13,3,1,1,0,4.85202980041504,8,0,3.48124003410339
"164",65,10,126.400001525879,111,16,15,1,0,0,0,4.70952987670898,6.9375,0,4.17438697814941
"165",8.5,10,126.400001525879,123,NA,14,1,0,1,0,4.81218385696411,7.6875,0,2.14006590843201
"166",65,10,126.400001525879,115,15,17,3,1,1,0,4.74493217468262,7.1875,0,4.17438697814941
"167",27.5,10,126.400001525879,167,12,12,2,1,1,0,5.11799383163452,10.4375,0,3.31418609619141
"168",37.5,10,126.400001525879,82,NA,12,2,0,0,0,4.40671920776367,5.125,0,3.62434101104736
"169",37.5,10,126.400001525879,121,18,16,2,1,1,0,4.7957911491394,7.5625,0,3.62434101104736
