faminc,cigprice,bwght,motheduc,male,cigs
13.5,122.300003051758,109,12.0,1,0
7.5,122.300003051758,133,12.0,1,0
0.5,122.300003051758,129,12.0,0,0
15.5,122.300003051758,126,12.0,1,0
27.5,122.300003051758,134,12.0,1,0
7.5,122.300003051758,118,14.0,1,0
65.0,122.300003051758,140,14.0,0,0
27.5,122.300003051758,86,14.0,0,0
27.5,122.300003051758,121,17.0,0,0
37.5,122.300003051758,129,18.0,0,0
27.5,122.300003051758,101,16.0,1,0
27.5,122.300003051758,133,15.0,1,0
6.5,122.300003051758,61,12.0,1,0
10.5,122.300003051758,104,12.0,1,0
12.5,122.300003051758,92,12.0,1,0
17.5,122.300003051758,122,13.0,1,0
42.5,122.300003051758,159,16.0,1,0
4.5,122.300003051758,154,11.0,0,0
32.5,122.300003051758,120,16.0,1,0
6.5,122.300003051758,138,11.0,0,0
47.5,122.300003051758,127,17.0,0,0
22.5,122.300003051758,107,12.0,1,0
15.5,122.300003051758,129,11.0,1,6
13.5,122.300003051758,129,12.0,0,0
37.5,122.300003051758,156,11.0,0,0
2.5,122.300003051758,124,12.0,1,0
2.5,122.300003051758,79,12.0,1,0
32.5,122.300003051758,112,12.0,1,0
22.5,122.300003051758,124,12.0,1,0
0.5,125.599998474121,134,12.0,1,0
65.0,125.599998474121,114,12.0,0,0
65.0,125.599998474121,124,13.0,1,0
65.0,125.599998474121,122,16.0,1,0
27.5,125.599998474121,104,10.0,0,0
7.5,125.599998474121,105,8.0,0,0
47.5,125.599998474121,113,16.0,1,0
65.0,125.599998474121,131,12.0,1,0
65.0,125.599998474121,107,14.0,0,0
32.5,125.599998474121,115,9.0,1,0
13.5,125.599998474121,97,13.0,0,0
65.0,125.599998474121,106,12.0,1,0
47.5,125.599998474121,132,12.0,1,0
37.5,125.599998474121,108,16.0,1,0
32.5,125.599998474121,114,14.0,1,0
18.5,125.599998474121,134,12.0,1,0
65.0,125.599998474121,134,16.0,0,0
65.0,125.599998474121,141,16.0,1,0
11.5,125.599998474121,84,12.0,1,0
32.5,125.599998474121,88,13.0,1,0
65.0,125.599998474121,130,18.0,1,0
17.5,125.599998474121,132,12.0,1,0
16.5,125.599998474121,133,13.0,1,0
22.5,125.599998474121,108,12.0,0,0
42.5,125.599998474121,92,14.0,0,0
32.5,125.599998474121,127,14.0,1,0
11.5,125.599998474121,131,9.0,1,0
65.0,125.599998474121,104,15.0,0,0
27.5,125.599998474121,122,12.0,0,0
27.5,125.599998474121,97,12.0,1,0
17.5,125.599998474121,122,16.0,0,0
65.0,125.599998474121,118,13.0,1,0
3.5,125.599998474121,140,12.0,1,0
0.5,125.599998474121,131,12.0,0,0
0.5,125.599998474121,104,12.0,0,10
3.5,125.599998474121,114,11.0,0,0
65.0,125.599998474121,141,13.0,0,0
22.5,125.599998474121,107,12.0,0,0
22.5,127.699996948242,152,10.0,1,0
7.5,127.699996948242,119,10.0,1,20
27.5,127.699996948242,135,12.0,0,0
18.5,127.699996948242,138,10.0,0,0
37.5,127.699996948242,108,16.0,1,0
22.5,127.699996948242,97,12.0,0,0
27.5,127.699996948242,131,12.0,1,0
18.5,127.699996948242,115,12.0,0,40
22.5,127.699996948242,123,14.0,1,0
0.5,127.699996948242,115,10.0,0,0
32.5,127.699996948242,132,16.0,0,0
27.5,127.699996948242,133,13.0,1,0
32.5,127.699996948242,125,12.0,0,0
15.5,127.699996948242,117,12.0,1,0
16.5,127.699996948242,116,13.0,1,0
19.5,127.699996948242,152,18.0,1,0
15.5,127.699996948242,101,10.0,0,0
14.5,127.699996948242,107,12.0,1,0
32.5,127.699996948242,136,14.0,0,0
14.5,127.699996948242,120,9.0,0,0
8.5,127.699996948242,127,18.0,1,0
8.5,127.699996948242,123,8.0,1,0
7.5,127.699996948242,135,12.0,1,0
32.5,127.699996948242,86,15.0,1,0
65.0,127.699996948242,97,16.0,1,0
7.5,127.699996948242,93,12.0,1,10
27.5,127.699996948242,96,12.0,0,0
13.5,127.699996948242,109,8.0,0,10
27.5,127.699996948242,117,11.0,1,0
18.5,127.699996948242,115,12.0,0,0
22.5,126.400001525879,121,12.0,1,20
65.0,126.400001525879,114,17.0,0,0
22.5,126.400001525879,118,6.0,0,0
42.5,126.400001525879,134,16.0,0,0
